id,source
ljcr-ds-10005-2624-688-10005,ljcr-difference-sets
ljcr-ds-10011-3081-948-10011,ljcr-difference-sets
ljcr-ds-10021-3841-1472-10021,ljcr-difference-sets
ljcr-ds-10043-5021-2510-10043,ljcr-difference-sets
ljcr-ds-10075-1242-153-10075,ljcr-difference-sets
ljcr-ds-1008-266-70-12-84,ljcr-difference-sets
ljcr-ds-1008-266-70-2-2-2-126,ljcr-difference-sets
ljcr-ds-1008-266-70-2-2-252,ljcr-difference-sets
ljcr-ds-1008-266-70-2-2-6-42,ljcr-difference-sets
ljcr-ds-1008-266-70-2-504,ljcr-difference-sets
ljcr-ds-1008-266-70-2-6-84,ljcr-difference-sets
ljcr-ds-1008-266-70-4-252,ljcr-difference-sets
ljcr-ds-1008-266-70-6-168,ljcr-difference-sets
ljcr-ds-10089-2328-537-10089,ljcr-difference-sets
ljcr-ds-10107-5053-2526-10107,ljcr-difference-sets
ljcr-ds-1012-337-112-1012,ljcr-difference-sets
ljcr-ds-10143-462-21-21-483,ljcr-difference-sets
ljcr-ds-10143-462-21-3-3381,ljcr-difference-sets
ljcr-ds-10143-462-21-7-1449,ljcr-difference-sets
ljcr-ds-10171-2035-407-10171,ljcr-difference-sets
ljcr-ds-10179-728-52-10179,ljcr-difference-sets
ljcr-ds-10179-728-52-3-3-1131,ljcr-difference-sets
ljcr-ds-10179-728-52-3-3393,ljcr-difference-sets
ljcr-ds-1021-340-113-1021,ljcr-difference-sets
ljcr-ds-10225-4545-2020-10225,ljcr-difference-sets
ljcr-ds-10255-5127-2563-10255,ljcr-difference-sets
ljcr-ds-10261-1216-144-10261,ljcr-difference-sets
ljcr-ds-10263-2199-471-10263,ljcr-difference-sets
ljcr-ds-1029-257-64-7-147,ljcr-difference-sets
ljcr-ds-1029-257-64-7-7-21,ljcr-difference-sets
ljcr-ds-10296-1421-196-10296,ljcr-difference-sets
ljcr-ds-10297-936-85-10297,ljcr-difference-sets
ljcr-ds-10305-4417-1893-10305,ljcr-difference-sets
ljcr-ds-10339-1723-287-10339,ljcr-difference-sets
ljcr-ds-10351-5175-2587-10351,ljcr-difference-sets
ljcr-ds-10366-3456-1152-10366,ljcr-difference-sets
ljcr-ds-10385-4544-1988-10385,ljcr-difference-sets
ljcr-ds-10431-2086-417-10431,ljcr-difference-sets
ljcr-ds-10439-4913-2312-10439,ljcr-difference-sets
ljcr-ds-10447-5223-2611-10447,ljcr-difference-sets
ljcr-ds-10465-2944-828-10465,ljcr-difference-sets
ljcr-ds-10497-1025-100-10497,ljcr-difference-sets
ljcr-ds-10499-4525-1950-10499,ljcr-difference-sets
ljcr-ds-10507-3400-1100-10507,ljcr-difference-sets
ljcr-ds-10533-2633-658-10533,ljcr-difference-sets
ljcr-ds-10539-958-87-10539,ljcr-difference-sets
ljcr-ds-10539-958-87-3-3513,ljcr-difference-sets
ljcr-ds-10543-5271-2635-10543,ljcr-difference-sets
ljcr-ds-10550-1233-144-10550,ljcr-difference-sets
ljcr-ds-10579-5289-2644-10579,ljcr-difference-sets
ljcr-ds-10587-5293-2646-10587,ljcr-difference-sets
ljcr-ds-10609-273-7-103-103,ljcr-difference-sets
ljcr-ds-10620-4551-1950-10620,ljcr-difference-sets
ljcr-ds-10711-3060-874-10711,ljcr-difference-sets
ljcr-ds-10719-3496-1140-10719,ljcr-difference-sets
ljcr-ds-10725-2681-670-10725,ljcr-difference-sets
ljcr-ds-10764-1833-312-10764,ljcr-difference-sets
ljcr-ds-10769-673-42-10769,ljcr-difference-sets
ljcr-ds-10769-673-42-11-979,ljcr-difference-sets
ljcr-ds-10791-1080-108-10791,ljcr-difference-sets
ljcr-ds-10795-4369-1768-10795,ljcr-difference-sets
ljcr-ds-10815-5407-2703-10815,ljcr-difference-sets
ljcr-ds-10821-2165-433-10821,ljcr-difference-sets
ljcr-ds-1083-541-270-19-57,ljcr-difference-sets
ljcr-ds-10837-1548-221-10837,ljcr-difference-sets
ljcr-ds-10880-4301-1700-10880,ljcr-difference-sets
ljcr-ds-10880-990-90-2-5440,ljcr-difference-sets
ljcr-ds-10880-990-90-4-2720,ljcr-difference-sets
ljcr-ds-10880-990-90-8-1360,ljcr-difference-sets
ljcr-ds-10899-5449-2724-10899,ljcr-difference-sets
ljcr-ds-10901-3925-1413-10901,ljcr-difference-sets
ljcr-ds-10923-5461-2730-10923,ljcr-difference-sets
ljcr-ds-1093-169-26-1093,ljcr-difference-sets
ljcr-ds-10989-2748-687-10989,ljcr-difference-sets
ljcr-ds-1100-315-90-10-110,ljcr-difference-sets
ljcr-ds-1100-315-90-1100,ljcr-difference-sets
ljcr-ds-1100-315-90-5-220,ljcr-difference-sets
ljcr-ds-11005-525-25-11005,ljcr-difference-sets
ljcr-ds-11011-3670-1223-11011,ljcr-difference-sets
ljcr-ds-11023-3675-1225-11023,ljcr-difference-sets
ljcr-ds-11045-4016-1460-11045,ljcr-difference-sets
ljcr-ds-11055-5527-2763-11055,ljcr-difference-sets
ljcr-ds-11081-2216-443-11081,ljcr-difference-sets
ljcr-ds-1111-111-11-1111,ljcr-difference-sets
ljcr-ds-1111-186-31-1111,ljcr-difference-sets
ljcr-ds-11141-2785-696-11141,ljcr-difference-sets
ljcr-ds-11175-1813-294-11175,ljcr-difference-sets
ljcr-ds-11181-5161-2382-11181,ljcr-difference-sets
ljcr-ds-11195-5597-2798-11195,ljcr-difference-sets
ljcr-ds-11235-5617-2808-11235,ljcr-difference-sets
ljcr-ds-1125-281-70-15-75,ljcr-difference-sets
ljcr-ds-1125-281-70-5-15-15,ljcr-difference-sets
ljcr-ds-1125-281-70-5-5-45,ljcr-difference-sets
ljcr-ds-112575-1463-19-112575,ljcr-difference-sets
ljcr-ds-11263-5631-2815-11263,ljcr-difference-sets
ljcr-ds-11286-1221-132-11286,ljcr-difference-sets
ljcr-ds-11325-3725-1225-11325,ljcr-difference-sets
ljcr-ds-11340-783-54-18-630,ljcr-difference-sets
ljcr-ds-11340-783-54-3-3-1260,ljcr-difference-sets
ljcr-ds-11340-783-54-3-6-630,ljcr-difference-sets
ljcr-ds-11340-783-54-9-1260,ljcr-difference-sets
ljcr-ds-11377-4977-2177-11377,ljcr-difference-sets
ljcr-ds-11439-1806-285-11439,ljcr-difference-sets
ljcr-ds-11440-1395-170-11440,ljcr-difference-sets
ljcr-ds-11461-3820-1273-11461,ljcr-difference-sets
ljcr-ds-11479-3826-1275-11479,ljcr-difference-sets
ljcr-ds-11525-2881-720-11525,ljcr-difference-sets
ljcr-ds-11534-608-32-11534,ljcr-difference-sets
ljcr-ds-11543-1393-168-11543,ljcr-difference-sets
ljcr-ds-1156-561-272-17-68,ljcr-difference-sets
ljcr-ds-1156-561-272-34-34,ljcr-difference-sets
ljcr-ds-11571-1691-247-11571,ljcr-difference-sets
ljcr-ds-1161-465-186-3-3-129,ljcr-difference-sets
ljcr-ds-1161-465-186-3-387,ljcr-difference-sets
ljcr-ds-11628-3927-1326-11628,ljcr-difference-sets
ljcr-ds-11704-3901-1300-11704,ljcr-difference-sets
ljcr-ds-11749-1068-97-11749,ljcr-difference-sets
ljcr-ds-11753-2600-575-11753,ljcr-difference-sets
ljcr-ds-11811-1181-118-11811,ljcr-difference-sets
ljcr-ds-11811-5905-2952-11811,ljcr-difference-sets
ljcr-ds-1183-394-131-13-91,ljcr-difference-sets
ljcr-ds-11831-2366-473-11831,ljcr-difference-sets
ljcr-ds-1189-297-74-1189,ljcr-difference-sets
ljcr-ds-1191-511-219-1191,ljcr-difference-sets
ljcr-ds-11911-1191-119-11911,ljcr-difference-sets
ljcr-ds-11915-5957-2978-11915,ljcr-difference-sets
ljcr-ds-11921-2385-477-11921,ljcr-difference-sets
ljcr-ds-11935-2431-495-11935,ljcr-difference-sets
ljcr-ds-11951-2151-387-11951,ljcr-difference-sets
ljcr-ds-11951-3825-1224-11951,ljcr-difference-sets
ljcr-ds-1197-208-36-1197,ljcr-difference-sets
ljcr-ds-1197-208-36-3-399,ljcr-difference-sets
ljcr-ds-1197-300-75-3-399,ljcr-difference-sets
ljcr-ds-1200-110-10-10-120,ljcr-difference-sets
ljcr-ds-1200-110-10-2-10-60,ljcr-difference-sets
ljcr-ds-1200-110-10-2-2-300,ljcr-difference-sets
ljcr-ds-1200-110-10-20-60,ljcr-difference-sets
ljcr-ds-1200-110-10-4-300,ljcr-difference-sets
ljcr-ds-12009-1976-325-12009,ljcr-difference-sets
ljcr-ds-12052-2575-550-12052,ljcr-difference-sets
ljcr-ds-12059-6029-3014-12059,ljcr-difference-sets
ljcr-ds-12061-4356-1573-12061,ljcr-difference-sets
ljcr-ds-12099-1841-280-12099,ljcr-difference-sets
ljcr-ds-12099-6049-3024-12099,ljcr-difference-sets
ljcr-ds-12104-5929-2904-12104,ljcr-difference-sets
ljcr-ds-12122-5797-2772-12122,ljcr-difference-sets
ljcr-ds-12127-2538-531-12127,ljcr-difference-sets
ljcr-ds-12131-6065-3032-12131,ljcr-difference-sets
ljcr-ds-12141-1821-273-12141,ljcr-difference-sets
ljcr-ds-12147-6073-3036-12147,ljcr-difference-sets
ljcr-ds-12151-4375-1575-12151,ljcr-difference-sets
ljcr-ds-12155-5665-2640-12155,ljcr-difference-sets
ljcr-ds-12167-869-62-23-23-23,ljcr-difference-sets
ljcr-ds-12181-4060-1353-12181,ljcr-difference-sets
ljcr-ds-12208-3757-1156-12208,ljcr-difference-sets
ljcr-ds-1221-245-49-1221,ljcr-difference-sets
ljcr-ds-1221-305-76-1221,ljcr-difference-sets
ljcr-ds-1222-297-72-1222,ljcr-difference-sets
ljcr-ds-12221-5265-2268-12221,ljcr-difference-sets
ljcr-ds-1225-136-15-35-35,ljcr-difference-sets
